Breed,links
Norwegian Buhunds,https://www.akc.org/dog-breeds/norwegian-buhund/
Glen of Imaal Terriers,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/
Dandie Dinmont Terriers,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/
Pyrenean Shepherds,https://www.akc.org/dog-breeds/pyrenean-shepherd/
Finnish Spitz,https://www.akc.org/dog-breeds/finnish-spitz/
Finnish Lapphunds,https://www.akc.org/dog-breeds/finnish-lapphund/
Otterhounds,https://www.akc.org/dog-breeds/otterhound/
Harriers,https://www.akc.org/dog-breeds/harrier/
Cesky Terriers,https://www.akc.org/dog-breeds/cesky-terrier/
Norwegian Lundehunds,https://www.akc.org/dog-breeds/norwegian-lundehund/
American Foxhounds,https://www.akc.org/dog-breeds/american-foxhound/
English Foxhounds,https://www.akc.org/dog-breeds/english-foxhound/
Coton de Tulear,https://www.akc.org/dog-breeds/coton-de-tulear/
Boerboels,https://www.akc.org/dog-breeds/boerboel/
Bergamasco,NA
Wirehaired Vizslas,https://www.akc.org/dog-breeds/wirehaired-vizsla/
Rat Terriers,https://www.akc.org/dog-breeds/rat-terrier/
Spanish Water Dogs,https://www.akc.org/dog-breeds/spanish-water-dog/
Cirnechi dell Etna,https://www.akc.org/dog-breeds/cirneco-delletna/
Miniature American Shepherds,https://www.akc.org/dog-breeds/miniature-american-shepherd/
American Hairless Terriers,https://www.akc.org/dog-breeds/american-hairless-terrier/
Lagotti Romagnoli,https://www.akc.org/dog-breeds/lagotto-romagnolo/
Berger Picards,https://www.akc.org/dog-breeds/berger-picard/
Sloughis,https://www.akc.org/dog-breeds/sloughi/
Pumi,NA
Bergamasco Sheepdogs,https://www.akc.org/dog-breeds/bergamasco-sheepdog/
Nederlandse Kooikerhondjes,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/
Grand Basset Griffon Vendeens,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/
Dogo Argentinos,https://www.akc.org/dog-breeds/dogo-argentino/
Barbets,https://www.akc.org/dog-breeds/barbet/
Puli,NA
Azawakhs,https://www.akc.org/dog-breeds/azawakh/
Pumik,https://www.akc.org/dog-breeds/pumi/
